BRENT,USAtoJPY,USAtoGBP,USAtoEUR
66.25,108.58,0.7607,0.8949
68.6,108.09,0.7641,0.8958
68.91,108.38,0.7594,0.8929
68.27,108.44,0.7619,0.8964
65.44,109.14,0.7633,0.9003
65.37,109.52,0.7653,0.9003
64.98,109.47,0.7657,0.899
64.2,109.94,0.77,0.8979
64.49,109.98,0.7681,0.8984
64,109.89,0.767,0.8966
64.62,110.16,0.7646,0.8977
64.85,110.16,0.7687,0.9016
65.2,110.19,0.7686,0.9012
64.59,109.88,0.7662,0.902
63.21,109.84,0.7609,0.9013
62.04,109.49,0.762,0.9045
60.69,109.28,0.7647,0.9069
59.32,108.89,0.766,0.9074
59.51,109.14,0.7675,0.9071
59.81,109,0.768,0.908
58.29,108.97,0.7636,0.9063
58.16,108.39,0.7575,0.9013
54.45,108.69,0.7695,0.904
53.96,109.53,0.7674,0.9054
55.28,109.81,0.7691,0.909
54.93,110,0.7734,0.9107
54.47,109.73,0.7756,0.9135
53.27,109.75,0.7743,0.9164
54.01,109.78,0.772,0.9159
55.79,110.08,0.7715,0.9195
56.34,109.81,0.7665,0.9223
57.32,109.75,0.7664,0.923
57.67,109.89,0.7688,0.9228
57.75,109.88,0.7692,0.9265
59.12,111.36,0.774,0.9252
59.31,112.12,0.7763,0.9271
58.5,111.58,0.771,0.9219
56.3,110.72,0.7733,0.9211
54.95,110.2,0.7689,0.9189
53.43,110.42,0.7749,0.9189
52.18,109.59,0.7761,0.9089
50.52,108.08,0.78,0.9068
51.9,108.31,0.7842,0.898
51.86,107.14,0.7805,0.8949
51.13,107.53,0.7769,0.8978
49.99,106.17,0.7712,0.8895
45.27,105.31,0.7663,0.886
34.36,102.36,0.7614,0.8733
37.22,105.64,0.7747,0.8864
35.79,104.55,0.7799,0.8872
33.22,104.64,0.7954,0.8939
33.85,107.92,0.8144,0.9003
30.05,105.86,0.8152,0.8941
28.73,107.69,0.8297,0.9093
24.88,108.37,0.8615,0.916
28.47,110.71,0.8705,0.9351
26.98,110.82,0.8589,0.9349
27.03,111.21,0.8658,0.9324
27.15,111.22,0.8504,0.9267
27.39,111.21,0.8417,0.9188
26.34,109.6,0.8194,0.9065
24.93,107.9,0.8027,0.8973
22.76,107.82,0.8053,0.905
22.74,107.54,0.8052,0.9064
24.74,107.17,0.8079,0.9119
29.94,107.92,0.8069,0.9208
34.11,108.46,0.8156,0.9251
