BRENT,USAtoJPY,USAtoGBP,USAtoCHF
66.25,108.58,0.7607,0.9714
68.6,108.09,0.7641,0.9727
68.91,108.38,0.7594,0.9682
68.27,108.44,0.7619,0.9703
65.44,109.14,0.7633,0.9739
65.37,109.52,0.7653,0.9733
64.98,109.47,0.7657,0.9725
64.2,109.94,0.77,0.9709
64.49,109.98,0.7681,0.9674
64,109.89,0.767,0.9641
64.62,110.16,0.7646,0.9646
64.85,110.16,0.7687,0.9682
65.2,110.19,0.7686,0.9681
64.59,109.88,0.7662,0.9686
63.21,109.84,0.7609,0.9679
62.04,109.49,0.762,0.9689
60.69,109.28,0.7647,0.9712
59.32,108.89,0.766,0.9696
59.51,109.14,0.7675,0.973
59.81,109,0.768,0.9732
58.29,108.97,0.7636,0.9695
58.16,108.39,0.7575,0.9632
54.45,108.69,0.7695,0.9659
53.96,109.53,0.7674,0.9692
55.28,109.81,0.7691,0.9734
54.93,110,0.7734,0.9746
54.47,109.73,0.7756,0.9778
53.27,109.75,0.7743,0.9772
54.01,109.78,0.772,0.9759
55.79,110.08,0.7715,0.9783
56.34,109.81,0.7665,0.9795
57.32,109.75,0.7664,0.9822
57.67,109.89,0.7688,0.9808
57.75,109.88,0.7692,0.9833
59.12,111.36,0.774,0.9839
59.31,112.12,0.7763,0.9841
58.5,111.58,0.771,0.9782
56.3,110.72,0.7733,0.9789
54.95,110.2,0.7689,0.9762
53.43,110.42,0.7749,0.9769
52.18,109.59,0.7761,0.9677
50.52,108.08,0.78,0.9655
51.9,108.31,0.7842,0.9593
51.86,107.14,0.7805,0.9562
51.13,107.53,0.7769,0.9569
49.99,106.17,0.7712,0.9456
45.27,105.31,0.7663,0.9374
34.36,102.36,0.7614,0.9252
37.22,105.64,0.7747,0.9399
35.79,104.55,0.7799,0.9389
33.22,104.64,0.7954,0.9441
33.85,107.92,0.8144,0.9498
30.05,105.86,0.8152,0.9471
28.73,107.69,0.8297,0.9611
24.88,108.37,0.8615,0.9682
28.47,110.71,0.8705,0.9861
26.98,110.82,0.8589,0.9866
27.03,111.21,0.8658,0.9847
27.15,111.22,0.8504,0.9817
27.39,111.21,0.8417,0.977
26.34,109.6,0.8194,0.9632
24.93,107.9,0.8027,0.9513
22.76,107.82,0.8053,0.9585
22.74,107.54,0.8052,0.961
24.74,107.17,0.8079,0.9656
29.94,107.92,0.8069,0.9738
34.11,108.46,0.8156,0.9779
33.05,109.22,0.8176,0.9788
31.87,108.71,0.8109,0.9693
32.84,108.82,0.8073,0.9719
31.48,108.47,0.8027,0.966
31.74,107.78,0.7993,0.9674
29.6,107.21,0.7921,0.9602
27.69,107.49,0.799,0.9646
27.82,107.96,0.8027,0.9705
28.08,107.53,0.8,0.9673
19.33,107.78,0.8134,0.9697
20.37,107.75,0.8108,0.9715
21.33,107.6,0.8094,0.976
21.44,107.51,0.8084,0.9732
19.99,107.24,0.8045,0.9754
20.46,106.88,0.8048,0.9752
22.54,106.71,0.802,0.9737
25.27,107.18,0.794,0.9654
26.44,106.94,0.7997,0.9614
27.2,106.75,0.8036,0.9651
30.97,106.6,0.8042,0.9727
29.72,106.15,0.8102,0.975
29.46,106.29,0.8088,0.973
30.97,106.67,0.8059,0.9708
29.63,107.68,0.8106,0.9731
29.98,107.14,0.8156,0.9695
29.19,107.03,0.8176,0.9722
31.13,107.25,0.8178,0.9732
32.5,107.04,0.826,0.9716
34.81,107.35,0.8201,0.9712
34.65,107.71,0.8162,0.9714
35.75,107.53,0.817,0.9651
36.06,107.62,0.8181,0.9705
35.13,107.63,0.8214,0.9711
35.53,107.71,0.8204,0.9722
36.17,107.54,0.8109,0.9656
34.74,107.72,0.8162,0.9685
35.29,107.64,0.8117,0.9643
35.33,107.79,0.8099,0.9614
38.32,107.59,0.8004,0.9609
39.57,108.68,0.7968,0.9623
39.79,108.9,0.7952,0.9613
39.99,109.14,0.7939,0.9555
42.3,109.59,0.7896,0.9626
40.8,108.43,0.786,0.9577
41.18,107.74,0.7857,0.9508
41.73,107.11,0.7845,0.9449
38.55,106.86,0.7935,0.9442
38.73,107.36,0.7973,0.9524
39.72,107.32,0.7934,0.9492
40.96,107.33,0.7951,0.9513
40.71,107,0.7964,0.9487
41.51,106.97,0.8048,0.9514
42.19,106.89,0.8092,0.9524
43.08,106.89,0.8023,0.9477
42.63,106.53,0.7987,0.9446
40.31,107.04,0.8051,0.9479
41.05,107.2,0.8053,0.9484
41.02,107.22,0.8107,0.9481
41.71,107.57,0.8131,0.9513
41.15,107.93,0.8064,0.9473
42.03,107.47,0.8016,0.9458
43.14,107.5,0.8021,0.9453
42.8,107.51,0.8009,0.9459
43.1,107.36,0.8005,0.9421
43.08,107.52,0.7973,0.9423
43.29,107.26,0.7929,0.9383
42.35,107.21,0.7933,0.9404
43.24,106.9,0.7922,0.941
42.72,107.28,0.7964,0.9415
42.9,107.25,0.7967,0.9397
43.79,106.94,0.7948,0.9443
43.37,107.27,0.7968,0.9455
43.14,107,0.7957,0.9387
43.28,107.25,0.7897,0.9389
44.32,106.78,0.7855,0.9333
44.29,107.15,0.7853,0.9297
43.31,106.86,0.7849,0.9255
43.34,106.14,0.7817,0.9208
43.41,105.38,0.7763,0.9199
43.22,105.09,0.7733,0.9179
43.75,104.92,0.7695,0.9126
42.94,104.74,0.7637,0.9089
43.3,105.89,0.7642,0.9129
44.15,105.96,0.7649,0.9178
44.43,105.72,0.7651,0.9134
45.17,105.58,0.7625,0.9085
45.09,105.55,0.7605,0.9097
44.4,105.93,0.7661,0.9125
44.99,105.95,0.7649,0.9156
44.5,106.48,0.7663,0.9167
45.43,106.89,0.7671,0.912
44.96,106.92,0.7654,0.9096
44.8,106.59,0.7641,0.909
45.37,105.99,0.7631,0.9064
45.46,105.42,0.7552,0.9037
45.37,106.1,0.7632,0.915
44.9,105.79,0.7567,0.9076
44.35,105.78,0.7638,0.9115
45.13,105.97,0.7654,0.9117
45.86,106.36,0.7602,0.9075
45.64,105.98,0.7569,0.9081
45.09,106.55,0.7573,0.9088
45.05,105.34,0.7488,0.9038
45.28,105.89,0.7477,0.9035
45.58,105.95,0.747,0.9092
44.43,106.18,0.749,0.9105
44.07,106.17,0.7528,0.9093
42.66,106.23,0.7528,0.9131
42.01,106.25,0.7593,0.9159
39.78,106.01,0.7702,0.9173
40.79,106.17,0.769,0.9123
40.06,106.13,0.7808,0.9104
39.83,106.14,0.7814,0.9086
39.61,105.72,0.7783,0.9083
40.53,105.43,0.7758,0.908
42.22,104.94,0.7711,0.9092
43.3,104.73,0.7707,0.9083
43.15,104.55,0.7741,0.9116
41.44,104.64,0.7802,0.9143
41.72,104.91,0.7852,0.9192
41.77,105.37,0.7858,0.9238
41.94,105.4,0.7841,0.9266
41.92,105.6,0.7843,0.9284
42.43,105.49,0.779,0.9244
41.03,105.64,0.7773,0.9192
40.95,105.45,0.7738,0.9207
40.93,105.5,0.7756,0.9183
39.27,105.33,0.7727,0.9209
41.29,105.72,0.7703,0.9153
42.65,105.62,0.7763,0.9177
41.99,105.96,0.7739,0.9172
43.34,106.01,0.773,0.9167
42.85,105.59,0.7663,0.9101
41.72,105.3,0.7654,0.9091
42.45,105.47,0.773,0.9149
43.32,105.15,0.7683,0.9138
43.16,105.44,0.7742,0.9149
42.93,105.4,0.7741,0.9146
42.62,105.42,0.7721,0.9102
43.16,105.49,0.7724,0.9069
41.73,104.56,0.7603,0.9053
42.46,104.82,0.7642,0.9069
41.77,104.69,0.7666,0.9042
40.46,104.82,0.7678,0.9074
41.2,104.4,0.7665,0.9085
39.12,104.29,0.7701,0.9103
37.65,104.61,0.7735,0.9152
37.46,104.64,0.7725,0.9167
38.97,104.71,0.7739,0.9187
39.71,104.46,0.7656,0.9117
41.23,104.48,0.7698,0.9124
40.93,103.47,0.7606,0.904
39.45,103.33,0.7599,0.9005
42.4,105.36,0.7596,0.9133
43.61,105.28,0.7532,0.9153
43.8,105.42,0.7561,0.9173
43.53,105.12,0.7623,0.9148
42.78,104.62,0.7582,0.9126
43.82,104.56,0.7576,0.9127
43.75,104.17,0.7548,0.9111
44.34,103.83,0.7533,0.9109
44.2,103.72,0.7539,0.9109
44.96,103.85,0.7527,0.9109
46.06,104.54,0.7505,0.9125
47.86,104.43,0.7483,0.9111
48.61,104.45,0.747,0.908
47.8,104.25,0.7484,0.9061
48.18,104.1,0.7509,0.9041
47.59,104.27,0.7505,0.909
47.42,104.3,0.7453,0.8997
48.25,104.4,0.7481,0.8942
48.71,103.83,0.7437,0.8909
49.25,104.14,0.7439,0.8921
48.79,104.06,0.7473,0.8906
48.84,104.15,0.7487,0.889
48.86,104.21,0.7463,0.8892
50.25,104.2,0.7521,0.8858
49.97,104.01,0.756,0.8893
50.29,104.03,0.7504,0.8863
50.76,103.66,0.7427,0.8856
51.08,103.48,0.7401,0.8855
51.5,103.1,0.7361,0.8843
52.26,103.31,0.7394,0.8832
50.91,103.3,0.7423,0.8855
50.08,103.63,0.7483,0.8896
51.2,103.55,0.741,0.8878
51.29,103.63,0.7378,0.8906
50.86,103.78,0.7433,0.8884
51.09,103.56,0.7406,0.8843
51.34,103.17,0.7338,0.881
51.8,103.21,0.7311,0.8853
