BRENT,USAtoGBP,USAtoEUR,USAtoCHF
66.25,0.7607,0.8949,0.9714
68.6,0.7641,0.8958,0.9727
68.91,0.7594,0.8929,0.9682
68.27,0.7619,0.8964,0.9703
65.44,0.7633,0.9003,0.9739
65.37,0.7653,0.9003,0.9733
64.98,0.7657,0.899,0.9725
64.2,0.77,0.8979,0.9709
64.49,0.7681,0.8984,0.9674
64,0.767,0.8966,0.9641
64.62,0.7646,0.8977,0.9646
64.85,0.7687,0.9016,0.9682
65.2,0.7686,0.9012,0.9681
64.59,0.7662,0.902,0.9686
63.21,0.7609,0.9013,0.9679
62.04,0.762,0.9045,0.9689
60.69,0.7647,0.9069,0.9712
59.32,0.766,0.9074,0.9696
59.51,0.7675,0.9071,0.973
59.81,0.768,0.908,0.9732
58.29,0.7636,0.9063,0.9695
58.16,0.7575,0.9013,0.9632
54.45,0.7695,0.904,0.9659
53.96,0.7674,0.9054,0.9692
55.28,0.7691,0.909,0.9734
54.93,0.7734,0.9107,0.9746
54.47,0.7756,0.9135,0.9778
53.27,0.7743,0.9164,0.9772
54.01,0.772,0.9159,0.9759
55.79,0.7715,0.9195,0.9783
56.34,0.7665,0.9223,0.9795
57.32,0.7664,0.923,0.9822
57.67,0.7688,0.9228,0.9808
57.75,0.7692,0.9265,0.9833
59.12,0.774,0.9252,0.9839
59.31,0.7763,0.9271,0.9841
58.5,0.771,0.9219,0.9782
56.3,0.7733,0.9211,0.9789
54.95,0.7689,0.9189,0.9762
53.43,0.7749,0.9189,0.9769
52.18,0.7761,0.9089,0.9677
50.52,0.78,0.9068,0.9655
51.9,0.7842,0.898,0.9593
51.86,0.7805,0.8949,0.9562
51.13,0.7769,0.8978,0.9569
49.99,0.7712,0.8895,0.9456
45.27,0.7663,0.886,0.9374
34.36,0.7614,0.8733,0.9252
37.22,0.7747,0.8864,0.9399
35.79,0.7799,0.8872,0.9389
33.22,0.7954,0.8939,0.9441
33.85,0.8144,0.9003,0.9498
30.05,0.8152,0.8941,0.9471
28.73,0.8297,0.9093,0.9611
24.88,0.8615,0.916,0.9682
28.47,0.8705,0.9351,0.9861
26.98,0.8589,0.9349,0.9866
27.03,0.8658,0.9324,0.9847
27.15,0.8504,0.9267,0.9817
27.39,0.8417,0.9188,0.977
26.34,0.8194,0.9065,0.9632
24.93,0.8027,0.8973,0.9513
22.76,0.8053,0.905,0.9585
22.74,0.8052,0.9064,0.961
24.74,0.8079,0.9119,0.9656
29.94,0.8069,0.9208,0.9738
34.11,0.8156,0.9251,0.9779
33.05,0.8176,0.9264,0.9788
31.87,0.8109,0.918,0.9693
32.84,0.8073,0.9208,0.9719
31.48,0.8027,0.9148,0.966
31.74,0.7993,0.9161,0.9674
29.6,0.7921,0.9105,0.9602
27.69,0.799,0.9165,0.9646
27.82,0.8027,0.9226,0.9705
28.08,0.8,0.9195,0.9673
19.33,0.8134,0.9208,0.9697
20.37,0.8108,0.9239,0.9715
21.33,0.8094,0.9276,0.976
21.44,0.8084,0.9239,0.9732
19.99,0.8045,0.9232,0.9754
20.46,0.8048,0.924,0.9752
22.54,0.802,0.9194,0.9737
25.27,0.794,0.9125,0.9654
26.44,0.7997,0.9105,0.9614
27.2,0.8036,0.9166,0.9651
30.97,0.8042,0.9227,0.9727
29.72,0.8102,0.9263,0.975
29.46,0.8088,0.9228,0.973
30.97,0.8059,0.9224,0.9708
29.63,0.8106,0.9251,0.9731
29.98,0.8156,0.9217,0.9695
29.19,0.8176,0.9243,0.9722
31.13,0.8178,0.9254,0.9732
32.5,0.826,0.9245,0.9716
34.81,0.8201,0.9163,0.9712
34.65,0.8162,0.9153,0.9714
35.75,0.817,0.9107,0.9651
36.06,0.8181,0.9131,0.9705
35.13,0.8214,0.9172,0.9711
35.53,0.8204,0.9173,0.9722
36.17,0.8109,0.9105,0.9656
34.74,0.8162,0.9085,0.9685
35.29,0.8117,0.9026,0.9643
35.33,0.8099,0.9009,0.9614
38.32,0.8004,0.898,0.9609
39.57,0.7968,0.895,0.9623
39.79,0.7952,0.89,0.9613
39.99,0.7939,0.8818,0.9555
42.3,0.7896,0.8859,0.9626
40.8,0.786,0.8853,0.9577
41.18,0.7857,0.8818,0.9508
41.73,0.7845,0.8793,0.9449
38.55,0.7935,0.8849,0.9442
38.73,0.7973,0.8883,0.9524
39.72,0.7934,0.883,0.9492
40.96,0.7951,0.8876,0.9513
40.71,0.7964,0.8892,0.9487
41.51,0.8048,0.8925,0.9514
42.19,0.8092,0.8945,0.9524
43.08,0.8023,0.8879,0.9477
42.63,0.7987,0.8842,0.9446
40.31,0.8051,0.8887,0.9479
41.05,0.8053,0.8913,0.9484
41.02,0.8107,0.8912,0.9481
41.71,0.8131,0.8894,0.9513
41.15,0.8064,0.8901,0.9473
42.03,0.8016,0.8886,0.9458
43.14,0.8021,0.8897,0.9453
42.8,0.8009,0.8889,0.9459
43.1,0.8005,0.8842,0.9421
43.08,0.7973,0.887,0.9423
43.29,0.7929,0.8825,0.9383
42.35,0.7933,0.8861,0.9404
43.24,0.7922,0.8848,0.941
42.72,0.7964,0.8814,0.9415
42.9,0.7967,0.8772,0.9397
43.79,0.7948,0.8762,0.9443
43.37,0.7968,0.8783,0.9455
43.14,0.7957,0.8749,0.9387
43.28,0.7897,0.8735,0.9389
44.32,0.7855,0.8674,0.9333
44.29,0.7853,0.8642,0.9297
43.31,0.7849,0.8622,0.9255
43.34,0.7817,0.8578,0.9208
43.41,0.7763,0.8509,0.9199
43.22,0.7733,0.8534,0.9179
