Days,WTI ,BRENT,USA/JPY,USA/GBP,USA/EUR,USA/CHF
1,61.18,66.25,108.58,0.7607,0.8949,0.9714
2,63.05,68.6,108.09,0.7641,0.8958,0.9727
3,63.27,68.91,108.38,0.7594,0.8929,0.9682
4,62.7,68.27,108.44,0.7619,0.8964,0.9703
5,59.61,65.44,109.14,0.7633,0.9003,0.9739
6,59.56,65.37,109.52,0.7653,0.9003,0.9733
7,59.04,64.98,109.47,0.7657,0.899,0.9725
8,58.08,64.2,109.94,0.77,0.8979,0.9709
9,58.23,64.49,109.98,0.7681,0.8984,0.9674
10,57.81,64,109.89,0.767,0.8966,0.9641
11,58.52,64.62,110.16,0.7646,0.8977,0.9646
12,58.54,64.85,110.16,0.7687,0.9016,0.9682
13,58.73,65.2,110.19,0.7686,0.9012,0.9681
14,58.34,64.59,109.88,0.7662,0.902,0.9686
15,56.74,63.21,109.84,0.7609,0.9013,0.9679
16,55.59,62.04,109.49,0.762,0.9045,0.9689
17,54.19,60.69,109.28,0.7647,0.9069,0.9712
18,53.14,59.32,108.89,0.766,0.9074,0.9696
19,53.48,59.51,109.14,0.7675,0.9071,0.973
20,53.33,59.81,109,0.768,0.908,0.9732
21,52.14,58.29,108.97,0.7636,0.9063,0.9695
22,51.56,58.16,108.39,0.7575,0.9013,0.9632
23,50.11,54.45,108.69,0.7695,0.904,0.9659
24,49.61,53.96,109.53,0.7674,0.9054,0.9692
25,50.75,55.28,109.81,0.7691,0.909,0.9734
26,50.95,54.93,110,0.7734,0.9107,0.9746
27,50.32,54.47,109.73,0.7756,0.9135,0.9778
28,49.57,53.27,109.75,0.7743,0.9164,0.9772
29,49.94,54.01,109.78,0.772,0.9159,0.9759
30,51.17,55.79,110.08,0.7715,0.9195,0.9783
31,51.42,56.34,109.81,0.7665,0.9223,0.9795
32,52.05,57.32,109.75,0.7664,0.923,0.9822
33,52.2,57.67,109.89,0.7688,0.9228,0.9808
34,52.05,57.75,109.88,0.7692,0.9265,0.9833
35,53.29,59.12,111.36,0.774,0.9252,0.9839
36,53.78,59.31,112.12,0.7763,0.9271,0.9841
37,53.38,58.5,111.58,0.771,0.9219,0.9782
38,51.43,56.3,110.72,0.7733,0.9211,0.9789
39,49.9,54.95,110.2,0.7689,0.9189,0.9762
40,48.73,53.43,110.42,0.7749,0.9189,0.9769
41,47.09,52.18,109.59,0.7761,0.9089,0.9677
42,44.76,50.52,108.08,0.78,0.9068,0.9655
43,46.75,51.9,108.31,0.7842,0.898,0.9593
44,47.18,51.86,107.14,0.7805,0.8949,0.9562
45,46.78,51.13,107.53,0.7769,0.8978,0.9569
46,45.9,49.99,106.17,0.7712,0.8895,0.9456
47,41.28,45.27,105.31,0.7663,0.886,0.9374
48,31.13,34.36,102.36,0.7614,0.8733,0.9252
49,34.36,37.22,105.64,0.7747,0.8864,0.9399
50,32.98,35.79,104.55,0.7799,0.8872,0.9389
51,31.5,33.22,104.64,0.7954,0.8939,0.9441
52,31.73,33.85,107.92,0.8144,0.9003,0.9498
53,28.7,30.05,105.86,0.8152,0.8941,0.9471
54,26.95,28.73,107.69,0.8297,0.9093,0.9611
