WTI,USAtoJPY,USAtoGBP,USAtoEUR
61.18,108.58,0.7607,0.8949
63.05,108.09,0.7641,0.8958
63.27,108.38,0.7594,0.8929
62.7,108.44,0.7619,0.8964
59.61,109.14,0.7633,0.9003
59.56,109.52,0.7653,0.9003
59.04,109.47,0.7657,0.899
58.08,109.94,0.77,0.8979
58.23,109.98,0.7681,0.8984
57.81,109.89,0.767,0.8966
58.52,110.16,0.7646,0.8977
58.54,110.16,0.7687,0.9016
58.73,110.19,0.7686,0.9012
58.34,109.88,0.7662,0.902
56.74,109.84,0.7609,0.9013
55.59,109.49,0.762,0.9045
54.19,109.28,0.7647,0.9069
53.14,108.89,0.766,0.9074
53.48,109.14,0.7675,0.9071
53.33,109,0.768,0.908
52.14,108.97,0.7636,0.9063
51.56,108.39,0.7575,0.9013
50.11,108.69,0.7695,0.904
49.61,109.53,0.7674,0.9054
50.75,109.81,0.7691,0.909
50.95,110,0.7734,0.9107
50.32,109.73,0.7756,0.9135
49.57,109.75,0.7743,0.9164
49.94,109.78,0.772,0.9159
51.17,110.08,0.7715,0.9195
51.42,109.81,0.7665,0.9223
52.05,109.75,0.7664,0.923
52.2,109.89,0.7688,0.9228
52.05,109.88,0.7692,0.9265
53.29,111.36,0.774,0.9252
53.78,112.12,0.7763,0.9271
53.38,111.58,0.771,0.9219
51.43,110.72,0.7733,0.9211
49.9,110.2,0.7689,0.9189
48.73,110.42,0.7749,0.9189
47.09,109.59,0.7761,0.9089
44.76,108.08,0.78,0.9068
46.75,108.31,0.7842,0.898
47.18,107.14,0.7805,0.8949
46.78,107.53,0.7769,0.8978
45.9,106.17,0.7712,0.8895
41.28,105.31,0.7663,0.886
31.13,102.36,0.7614,0.8733
34.36,105.64,0.7747,0.8864
32.98,104.55,0.7799,0.8872
31.5,104.64,0.7954,0.8939
31.73,107.92,0.8144,0.9003
28.7,105.86,0.8152,0.8941
26.95,107.69,0.8297,0.9093
20.37,108.37,0.8615,0.916
25.22,110.71,0.8705,0.9351
22.43,110.82,0.8589,0.9349
23.36,111.21,0.8658,0.9324
24.01,111.22,0.8504,0.9267
24.49,111.21,0.8417,0.9188
22.6,109.6,0.8194,0.9065
21.51,107.9,0.8027,0.8973
20.09,107.82,0.8053,0.905
20.48,107.54,0.8052,0.9064
20.31,107.17,0.8079,0.9119
25.32,107.92,0.8069,0.9208
28.34,108.46,0.8156,0.9251
26.08,109.22,0.8176,0.9264
23.63,108.71,0.8109,0.918
25.09,108.82,0.8073,0.9208
22.76,108.47,0.8027,0.9148
22.41,107.78,0.7993,0.9161
20.11,107.21,0.7921,0.9105
19.87,107.49,0.799,0.9165
19.87,107.96,0.8027,0.9226
18.27,107.53,0.8,0.9195
10.01,107.78,0.8134,0.9208
13.78,107.75,0.8108,0.9239
16.5,107.6,0.8094,0.9276
16.94,107.51,0.8084,0.9239
12.78,107.24,0.8045,0.9232
