WTI,USAtoGBP,USAtoEUR,USAtoCHF
61.18,0.7607,0.8949,0.9714
63.05,0.7641,0.8958,0.9727
63.27,0.7594,0.8929,0.9682
62.7,0.7619,0.8964,0.9703
59.61,0.7633,0.9003,0.9739
59.56,0.7653,0.9003,0.9733
59.04,0.7657,0.899,0.9725
58.08,0.77,0.8979,0.9709
58.23,0.7681,0.8984,0.9674
57.81,0.767,0.8966,0.9641
58.52,0.7646,0.8977,0.9646
58.54,0.7687,0.9016,0.9682
58.73,0.7686,0.9012,0.9681
58.34,0.7662,0.902,0.9686
56.74,0.7609,0.9013,0.9679
55.59,0.762,0.9045,0.9689
54.19,0.7647,0.9069,0.9712
53.14,0.766,0.9074,0.9696
53.48,0.7675,0.9071,0.973
53.33,0.768,0.908,0.9732
52.14,0.7636,0.9063,0.9695
51.56,0.7575,0.9013,0.9632
50.11,0.7695,0.904,0.9659
49.61,0.7674,0.9054,0.9692
50.75,0.7691,0.909,0.9734
50.95,0.7734,0.9107,0.9746
50.32,0.7756,0.9135,0.9778
49.57,0.7743,0.9164,0.9772
49.94,0.772,0.9159,0.9759
51.17,0.7715,0.9195,0.9783
51.42,0.7665,0.9223,0.9795
52.05,0.7664,0.923,0.9822
52.2,0.7688,0.9228,0.9808
52.05,0.7692,0.9265,0.9833
53.29,0.774,0.9252,0.9839
53.78,0.7763,0.9271,0.9841
53.38,0.771,0.9219,0.9782
51.43,0.7733,0.9211,0.9789
49.9,0.7689,0.9189,0.9762
48.73,0.7749,0.9189,0.9769
47.09,0.7761,0.9089,0.9677
44.76,0.78,0.9068,0.9655
46.75,0.7842,0.898,0.9593
47.18,0.7805,0.8949,0.9562
46.78,0.7769,0.8978,0.9569
45.9,0.7712,0.8895,0.9456
41.28,0.7663,0.886,0.9374
31.13,0.7614,0.8733,0.9252
34.36,0.7747,0.8864,0.9399
32.98,0.7799,0.8872,0.9389
31.5,0.7954,0.8939,0.9441
31.73,0.8144,0.9003,0.9498
28.7,0.8152,0.8941,0.9471
26.95,0.8297,0.9093,0.9611
20.37,0.8615,0.916,0.9682
25.22,0.8705,0.9351,0.9861
22.43,0.8589,0.9349,0.9866
23.36,0.8658,0.9324,0.9847
24.01,0.8504,0.9267,0.9817
24.49,0.8417,0.9188,0.977
22.6,0.8194,0.9065,0.9632
21.51,0.8027,0.8973,0.9513
20.09,0.8053,0.905,0.9585
20.48,0.8052,0.9064,0.961
20.31,0.8079,0.9119,0.9656
25.32,0.8069,0.9208,0.9738
28.34,0.8156,0.9251,0.9779
26.08,0.8176,0.9264,0.9788
23.63,0.8109,0.918,0.9693
25.09,0.8073,0.9208,0.9719
22.76,0.8027,0.9148,0.966
22.41,0.7993,0.9161,0.9674
20.11,0.7921,0.9105,0.9602
19.87,0.799,0.9165,0.9646
19.87,0.8027,0.9226,0.9705
18.27,0.8,0.9195,0.9673
10.01,0.8134,0.9208,0.9697
13.78,0.8108,0.9239,0.9715
16.5,0.8094,0.9276,0.976
16.94,0.8084,0.9239,0.9732
12.78,0.8045,0.9232,0.9754
12.34,0.8048,0.924,0.9752
